"ID","Gender","Education","Offences","IntRate","Income","DTI","LoanAmt","HistLen","Utilisation","Age","EmpStatus","HomeOwn","Purpose","default","LoanAmt_raw"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"84574","Male","Grade 12",3,24.75,727037,1.95,1304907,1.76,15,29.1,"Contract","Mortgage","Vehicle",1,"1304907"
"90003","Male","Diploma",0,18.75,205127,1.43,716055,22.54,75.08,52.8,"Salaried","Rent","Vehicle",0,"716055"
"90003","Male","Diploma",0,18.75,205127,1.43,716055,22.54,75.08,52.8,"Salaried","Rent","Vehicle",0,"716055"
"90006","Male","Degree",1,17.75,350150,1.31,1034110,19.93,67.03,53.4,"Salaried","Mortgage","Vehicle",0,"1034110"
"90006","Male","Degree",1,17.75,350150,1.31,1034110,19.93,67.03,53.4,"Salaried","Mortgage","Vehicle",0,"1034110"
"90007","Male","Grade 12",0,34.75,5215,0.54,19525,19.69,71.6,52.5,"Unemployed","Mortgage","Debt_consolidation",1,"19525"
"90007","Male","Grade 12",0,34.75,5215,0.54,19525,19.69,71.6,52.5,"Unemployed","Mortgage","Debt_consolidation",1,"19525"
"90015","Female","Postgrad",0,32.25,2890,0.45,7806,31.13,105.99,55,"Unemployed","Rent","Debt_consolidation",0,"7806"
"90015","Female","Postgrad",0,32.25,2890,0.45,7806,31.13,105.99,55,"Unemployed","Rent","Debt_consolidation",0,"7806"
"90016","Male","Grade 12",1,18.75,324719,0.87,449911,9.34,42.05,33.3,"Salaried","Rent","Vehicle",0,"449911"
